Success | LR | Epsilon | Target Update | Hidden Dim
------------------------------------------------------------
1.0000 | 0.000700 | 0.4000 | 30 | 96
1.0000 | 0.000700 | 0.4000 | 30 | 146
1.0000 | 0.000700 | 0.4000 | 30 | 196
1.0000 | 0.000700 | 0.4000 | 150 | 171
1.0000 | 0.000700 | 0.4000 | 60 | 96
1.0000 | 0.000700 | 0.4000 | 60 | 121
1.0000 | 0.000700 | 0.4000 | 150 | 96
1.0000 | 0.000700 | 0.4000 | 120 | 196
1.0000 | 0.000700 | 0.4000 | 120 | 171
1.0000 | 0.000700 | 0.4000 | 60 | 146
1.0000 | 0.000250 | 0.1000 | 30 | 146
1.0000 | 0.000250 | 0.1750 | 60 | 171
1.0000 | 0.000250 | 0.1750 | 60 | 146
1.0000 | 0.000250 | 0.1750 | 30 | 171
1.0000 | 0.000250 | 0.1750 | 30 | 146
1.0000 | 0.000700 | 0.2500 | 120 | 96
1.0000 | 0.000700 | 0.2500 | 90 | 196
1.0000 | 0.000700 | 0.2500 | 90 | 171
1.0000 | 0.000700 | 0.2500 | 90 | 146
1.0000 | 0.000700 | 0.3250 | 30 | 96
1.0000 | 0.000700 | 0.2500 | 60 | 171
1.0000 | 0.000700 | 0.2500 | 60 | 146
1.0000 | 0.000700 | 0.2500 | 60 | 121
1.0000 | 0.000700 | 0.2500 | 30 | 196
1.0000 | 0.000700 | 0.2500 | 30 | 171
1.0000 | 0.000700 | 0.2500 | 120 | 146
1.0000 | 0.000700 | 0.2500 | 30 | 96
1.0000 | 0.000700 | 0.1750 | 150 | 171
1.0000 | 0.000700 | 0.1750 | 150 | 146
1.0000 | 0.000700 | 0.2500 | 60 | 196
1.0000 | 0.000700 | 0.2500 | 30 | 121
1.0000 | 0.000250 | 0.1000 | 150 | 196
1.0000 | 0.000250 | 0.1000 | 150 | 171
1.0000 | 0.000250 | 0.1000 | 120 | 196
1.0000 | 0.000250 | 0.1750 | 60 | 196
1.0000 | 0.000250 | 0.1000 | 90 | 196
1.0000 | 0.000250 | 0.1000 | 90 | 146
1.0000 | 0.000250 | 0.1000 | 60 | 96
1.0000 | 0.000250 | 0.2500 | 120 | 96
1.0000 | 0.000250 | 0.2500 | 90 | 171
1.0000 | 0.000250 | 0.2500 | 90 | 146
1.0000 | 0.000250 | 0.2500 | 90 | 121
1.0000 | 0.000250 | 0.2500 | 90 | 96
1.0000 | 0.000250 | 0.2500 | 60 | 196
1.0000 | 0.000700 | 0.1750 | 60 | 196
1.0000 | 0.000700 | 0.1750 | 60 | 96
1.0000 | 0.000700 | 0.1750 | 30 | 196
1.0000 | 0.000700 | 0.1750 | 30 | 171
1.0000 | 0.000700 | 0.1750 | 120 | 171
1.0000 | 0.000700 | 0.1750 | 30 | 121
1.0000 | 0.000700 | 0.1750 | 30 | 96
1.0000 | 0.000700 | 0.1000 | 150 | 196
1.0000 | 0.000700 | 0.1000 | 150 | 171
1.0000 | 0.000700 | 0.1000 | 150 | 146
1.0000 | 0.000700 | 0.1000 | 150 | 121
